label;uniprotAccs;region_name;Score_Max;hemisphere
374;P28066;PSMA5_L;31;right
375;P25787;PSMA2_M;31;right
376;Q8TAA3;PSMA8_A;32;right
377;P28070;PSMB4_B;32;right
378;P28074;PSMB5_C;32;right
379;P49721;PSMB2_D;32;right
380;P20618;PSMB1_E;32;right
381;O14818;PSMA1_F;32;right
382;P28072;PSMB6_G;32;right
383;Q99436;PSMB7_H;32;right
384;P25789;PSMA4_I;32;right
385;P25788;PSMA3_J;32;right
386;P60900;PSMA6_K;32;right
387;P28066;PSMA5_L;32;right
388;P25787;PSMA2_M;32;right
389;Q8TAA3;PSMA8_A;33;right
390;P28070;PSMB4_B;33;right
391;P28074;PSMB5_C;33;right
392;P49721;PSMB2_D;33;right
393;P20618;PSMB1_E;33;right
394;O14818;PSMA1_F;33;right
395;P28072;PSMB6_G;33;right
396;Q99436;PSMB7_H;33;right
397;P25789;PSMA4_I;33;right
398;P25788;PSMA3_J;33;right
399;P60900;PSMA6_K;33;right
400;P28066;PSMA5_L;33;right
401;P25787;PSMA2_M;33;right
402;Q8TAA3;PSMA8_A;34;right
403;P28070;PSMB4_B;34;right
404;P28074;PSMB5_C;34;right
405;P49721;PSMB2_D;34;right
406;P20618;PSMB1_E;34;right
407;O14818;PSMA1_F;34;right
408;P28072;PSMB6_G;34;right
409;Q99436;PSMB7_H;34;right
410;P25789;PSMA4_I;34;right
411;P25788;PSMA3_J;34;right
412;P60900;PSMA6_K;34;right
413;P28066;PSMA5_L;34;right
414;P25787;PSMA2_M;34;right
415;Q8TAA3;PSMA8_A;35;right
416;P28070;PSMB4_B;35;right
417;P28074;PSMB5_C;35;right
418;P49721;PSMB2_D;35;right
419;P20618;PSMB1_E;35;right
420;O14818;PSMA1_F;35;right
421;P28072;PSMB6_G;35;right
422;Q99436;PSMB7_H;35;right
423;P25789;PSMA4_I;35;right
424;P25788;PSMA3_J;35;right
425;P60900;PSMA6_K;35;right
426;P28066;PSMA5_L;35;right
427;P25787;PSMA2_M;35;right
428;Q8TAA3;PSMA8_A;36;right
429;P28070;PSMB4_B;36;right
430;P28074;PSMB5_C;36;right
431;P49721;PSMB2_D;36;right
432;P20618;PSMB1_E;36;right
433;O14818;PSMA1_F;36;right
434;P28072;PSMB6_G;36;right
435;Q99436;PSMB7_H;36;right
436;P25789;PSMA4_I;36;right
437;P25788;PSMA3_J;36;right
438;P60900;PSMA6_K;36;right
439;P28066;PSMA5_L;36;right
440;P25787;PSMA2_M;36;right
441;Q8TAA3;PSMA8_A;37;right
442;P28070;PSMB4_B;37;right
443;P28074;PSMB5_C;37;right
444;P49721;PSMB2_D;37;right
445;P20618;PSMB1_E;37;right
446;O14818;PSMA1_F;37;right
447;P28072;PSMB6_G;37;right
448;Q99436;PSMB7_H;37;right
449;P25789;PSMA4_I;37;right
450;P25788;PSMA3_J;37;right
451;P60900;PSMA6_K;37;right
452;P28066;PSMA5_L;37;right
453;P25787;PSMA2_M;37;right
454;Q8TAA3;PSMA8_A;38;right
455;P28070;PSMB4_B;38;right
456;P28074;PSMB5_C;38;right
457;P49721;PSMB2_D;38;right
458;P20618;PSMB1_E;38;right
459;O14818;PSMA1_F;38;right
460;P28072;PSMB6_G;38;right
461;Q99436;PSMB7_H;38;right
462;P25789;PSMA4_I;38;right
463;P25788;PSMA3_J;38;right
464;P60900;PSMA6_K;38;right
465;P28066;PSMA5_L;38;right
466;P25787;PSMA2_M;38;right
467;Q8TAA3;PSMA8_A;39;right
468;P28070;PSMB4_B;39;right
469;P28074;PSMB5_C;39;right
470;P49721;PSMB2_D;39;right
471;P20618;PSMB1_E;39;right
472;O14818;PSMA1_F;39;right
473;P28072;PSMB6_G;39;right
474;Q99436;PSMB7_H;39;right
475;P25789;PSMA4_I;39;right
476;P25788;PSMA3_J;39;right
477;P60900;PSMA6_K;39;right
478;P28066;PSMA5_L;39;right
479;P25787;PSMA2_M;39;right
480;Q8TAA3;PSMA8_A;40;right
481;P28070;PSMB4_B;40;right
482;P28074;PSMB5_C;40;right
483;P49721;PSMB2_D;40;right
484;P20618;PSMB1_E;40;right
485;O14818;PSMA1_F;40;right
486;P28072;PSMB6_G;40;right
487;Q99436;PSMB7_H;40;right
488;P25789;PSMA4_I;40;right
489;P25788;PSMA3_J;40;right
490;P60900;PSMA6_K;40;right
491;P28066;PSMA5_L;40;right
492;P25787;PSMA2_M;40;right
493;Q8TAA3;PSMA8_A;41;right
494;P28070;PSMB4_B;41;right
495;P28074;PSMB5_C;41;right
496;P49721;PSMB2_D;41;right
497;P20618;PSMB1_E;41;right
498;O14818;PSMA1_F;41;right
499;P28072;PSMB6_G;41;right
500;Q99436;PSMB7_H;41;right
501;P25789;PSMA4_I;41;right
502;P25788;PSMA3_J;41;right
503;P60900;PSMA6_K;41;right
504;P28066;PSMA5_L;41;right
505;P25787;PSMA2_M;41;right
506;Q8TAA3;PSMA8_A;42;right
507;P28070;PSMB4_B;42;right
508;P28074;PSMB5_C;42;right
509;P49721;PSMB2_D;42;right
510;P20618;PSMB1_E;42;right
511;O14818;PSMA1_F;42;right
512;P28072;PSMB6_G;42;right
513;Q99436;PSMB7_H;42;right
514;P25789;PSMA4_I;42;right
515;P25788;PSMA3_J;42;right
516;P60900;PSMA6_K;42;right
517;P28066;PSMA5_L;42;right
518;P25787;PSMA2_M;42;right
519;Q8TAA3;PSMA8_A;43;right
520;P28070;PSMB4_B;43;right
521;P28074;PSMB5_C;43;right
522;P49721;PSMB2_D;43;right
523;P20618;PSMB1_E;43;right
524;O14818;PSMA1_F;43;right
525;P28072;PSMB6_G;43;right
526;Q99436;PSMB7_H;43;right
527;P25789;PSMA4_I;43;right
528;P25788;PSMA3_J;43;right
529;P60900;PSMA6_K;43;right
530;P28066;PSMA5_L;43;right
531;P25787;PSMA2_M;43;right
532;Q8TAA3;PSMA8_A;44;right
533;P28070;PSMB4_B;44;right
534;P28074;PSMB5_C;44;right
535;P49721;PSMB2_D;44;right
536;P20618;PSMB1_E;44;right
537;O14818;PSMA1_F;44;right
538;P28072;PSMB6_G;44;right
539;Q99436;PSMB7_H;44;right
540;P25789;PSMA4_I;44;right
541;P25788;PSMA3_J;44;right
542;P60900;PSMA6_K;44;right
543;P28066;PSMA5_L;44;right
544;P25787;PSMA2_M;44;right
545;Q8TAA3;PSMA8_A;45;right
546;P28070;PSMB4_B;45;right
547;P28074;PSMB5_C;45;right
548;P49721;PSMB2_D;45;right
549;P20618;PSMB1_E;45;right
550;O14818;PSMA1_F;45;right
551;P28072;PSMB6_G;45;right
552;Q99436;PSMB7_H;45;right
553;P25789;PSMA4_I;45;right
554;P25788;PSMA3_J;45;right
555;P60900;PSMA6_K;45;right
556;P28066;PSMA5_L;45;right
557;P25787;PSMA2_M;45;right
558;Q8TAA3;PSMA8_A;46;right
559;P28070;PSMB4_B;46;right
560;P28074;PSMB5_C;46;right
561;P49721;PSMB2_D;46;right
562;P20618;PSMB1_E;46;right
563;O14818;PSMA1_F;46;right
564;P28072;PSMB6_G;46;right
565;Q99436;PSMB7_H;46;right
566;P25789;PSMA4_I;46;right
567;P25788;PSMA3_J;46;right
568;P60900;PSMA6_K;46;right
569;P28066;PSMA5_L;46;right
570;P25787;PSMA2_M;46;right
571;Q8TAA3;PSMA8_A;47;right
572;P28070;PSMB4_B;47;right
573;P28074;PSMB5_C;47;right
574;P49721;PSMB2_D;47;right
575;P20618;PSMB1_E;47;right
576;O14818;PSMA1_F;47;right
577;P28072;PSMB6_G;47;right
578;Q99436;PSMB7_H;47;right
579;P25789;PSMA4_I;47;right
580;P25788;PSMA3_J;47;right
581;P60900;PSMA6_K;47;right
582;P28066;PSMA5_L;47;right
583;P25787;PSMA2_M;47;right
584;Q8TAA3;PSMA8_A;48;right
585;P28070;PSMB4_B;48;right
586;P28074;PSMB5_C;48;right
587;P49721;PSMB2_D;48;right
588;P20618;PSMB1_E;48;right
589;O14818;PSMA1_F;48;right
590;P28072;PSMB6_G;48;right
591;Q99436;PSMB7_H;48;right
592;P25789;PSMA4_I;48;right
593;P25788;PSMA3_J;48;right
594;P60900;PSMA6_K;48;right
595;P28066;PSMA5_L;48;right
596;P25787;PSMA2_M;48;right
597;Q8TAA3;PSMA8_A;49;right
598;P28070;PSMB4_B;49;right
599;P28074;PSMB5_C;49;right
600;P49721;PSMB2_D;49;right
601;P20618;PSMB1_E;49;right
602;O14818;PSMA1_F;49;right
603;P28072;PSMB6_G;49;right
604;Q99436;PSMB7_H;49;right
605;P25789;PSMA4_I;49;right
606;P25788;PSMA3_J;49;right
607;P60900;PSMA6_K;49;right
608;P28066;PSMA5_L;49;right
609;P25787;PSMA2_M;49;right
610;Q8TAA3;PSMA8_A;50;right
611;P28070;PSMB4_B;50;right
612;P28074;PSMB5_C;50;right
613;P49721;PSMB2_D;50;right
614;P20618;PSMB1_E;50;right
615;O14818;PSMA1_F;50;right
616;P28072;PSMB6_G;50;right
617;Q99436;PSMB7_H;50;right
618;P25789;PSMA4_I;50;right
619;P25788;PSMA3_J;50;right
620;P60900;PSMA6_K;50;right
621;P28066;PSMA5_L;50;right
622;P25787;PSMA2_M;50;right
623;Q8TAA3;PSMA8_A;51;right
624;P28070;PSMB4_B;51;right
625;P28074;PSMB5_C;51;right
626;P49721;PSMB2_D;51;right
627;P20618;PSMB1_E;51;right
628;O14818;PSMA1_F;51;right
629;P28072;PSMB6_G;51;right
630;Q99436;PSMB7_H;51;right
631;P25789;PSMA4_I;51;right
632;P25788;PSMA3_J;51;right
633;P60900;PSMA6_K;51;right
634;P28066;PSMA5_L;51;right
635;P25787;PSMA2_M;51;right
636;Q8TAA3;PSMA8_A;52;right
637;P28070;PSMB4_B;52;right
638;P28074;PSMB5_C;52;right
639;P49721;PSMB2_D;52;right
640;P20618;PSMB1_E;52;right
641;O14818;PSMA1_F;52;right
642;P28072;PSMB6_G;52;right
643;Q99436;PSMB7_H;52;right
644;P25789;PSMA4_I;52;right
645;P25788;PSMA3_J;52;right
646;P60900;PSMA6_K;52;right
647;P28066;PSMA5_L;52;right
648;P25787;PSMA2_M;52;right
649;Q8TAA3;PSMA8_A;53;right
650;P28070;PSMB4_B;53;right
651;P28074;PSMB5_C;53;right
652;P49721;PSMB2_D;53;right
653;P20618;PSMB1_E;53;right
654;O14818;PSMA1_F;53;right
655;P28072;PSMB6_G;53;right
656;Q99436;PSMB7_H;53;right
657;P25789;PSMA4_I;53;right
658;P25788;PSMA3_J;53;right
659;P60900;PSMA6_K;53;right
660;P28066;PSMA5_L;53;right
661;P25787;PSMA2_M;53;right
662;Q8TAA3;PSMA8_A;54;right
663;P28070;PSMB4_B;54;right
664;P28074;PSMB5_C;54;right
665;P49721;PSMB2_D;54;right
666;P20618;PSMB1_E;54;right
667;O14818;PSMA1_F;54;right
668;P28072;PSMB6_G;54;right
669;Q99436;PSMB7_H;54;right
670;P25789;PSMA4_I;54;right
671;P25788;PSMA3_J;54;right
672;P60900;PSMA6_K;54;right
673;P28066;PSMA5_L;54;right
674;P25787;PSMA2_M;54;right
675;Q8TAA3;PSMA8_A;55;right
676;P28070;PSMB4_B;55;right
677;P28074;PSMB5_C;55;right
678;P49721;PSMB2_D;55;right
679;P20618;PSMB1_E;55;right
680;O14818;PSMA1_F;55;right
681;P28072;PSMB6_G;55;right
682;Q99436;PSMB7_H;55;right
683;P25789;PSMA4_I;55;right
684;P25788;PSMA3_J;55;right
685;P60900;PSMA6_K;55;right
686;P28066;PSMA5_L;55;right
687;P25787;PSMA2_M;55;right
688;Q8TAA3;PSMA8_A;56;right
689;P28070;PSMB4_B;56;right
690;P28074;PSMB5_C;56;right
691;P49721;PSMB2_D;56;right
692;P20618;PSMB1_E;56;right
693;O14818;PSMA1_F;56;right
694;P28072;PSMB6_G;56;right
695;Q99436;PSMB7_H;56;right
696;P25789;PSMA4_I;56;right
697;P25788;PSMA3_J;56;right
698;P60900;PSMA6_K;56;right
699;P28066;PSMA5_L;56;right
700;P25787;PSMA2_M;56;right
701;Q8TAA3;PSMA8_A;57;right
702;P28070;PSMB4_B;57;right
703;P28074;PSMB5_C;57;right
704;P49721;PSMB2_D;57;right
705;P20618;PSMB1_E;57;right
706;O14818;PSMA1_F;57;right
707;P28072;PSMB6_G;57;right
708;Q99436;PSMB7_H;57;right
709;P25789;PSMA4_I;57;right
710;P25788;PSMA3_J;57;right
711;P60900;PSMA6_K;57;right
712;P28066;PSMA5_L;57;right
713;P25787;PSMA2_M;57;right
714;Q8TAA3;PSMA8_A;58;right
715;P28070;PSMB4_B;58;right
716;P28074;PSMB5_C;58;right
717;P49721;PSMB2_D;58;right
718;P20618;PSMB1_E;58;right
719;O14818;PSMA1_F;58;right
720;P28072;PSMB6_G;58;right
721;Q99436;PSMB7_H;58;right
722;P25789;PSMA4_I;58;right
723;P25788;PSMA3_J;58;right
724;P60900;PSMA6_K;58;right
725;P28066;PSMA5_L;58;right
726;P25787;PSMA2_M;58;right
727;Q8TAA3;PSMA8_A;59;right
728;P28070;PSMB4_B;59;right
729;P28074;PSMB5_C;59;right
730;P49721;PSMB2_D;59;right
731;P20618;PSMB1_E;59;right
732;O14818;PSMA1_F;59;right
733;P28072;PSMB6_G;59;right
734;Q99436;PSMB7_H;59;right
735;P25789;PSMA4_I;59;right
736;P25788;PSMA3_J;59;right
737;P60900;PSMA6_K;59;right
738;P28066;PSMA5_L;59;right
739;P25787;PSMA2_M;59;right
740;Q8TAA3;PSMA8_A;60;right
741;P28070;PSMB4_B;60;right
742;P28074;PSMB5_C;60;right
743;P49721;PSMB2_D;60;right
744;P20618;PSMB1_E;60;right
745;O14818;PSMA1_F;60;right
746;P28072;PSMB6_G;60;right
747;Q99436;PSMB7_H;60;right
748;P25789;PSMA4_I;60;right
