label;Sample;superclass;region_name;hemisphere
550;3;PC CA1;CA1;left
551;3;Uncalled;CA1;left
552;3;Non neuron;CA1;left
553;3;Non neuron;CA1;left
554;3;Non neuron;CA1;left
555;3;PC CA1;CA1;left
556;3;PC CA1;CA1;left
557;3;Non neuron;CA1;left
558;3;PC CA1;CA1;left
559;3;PC CA1;CA1;left
560;3;PC CA1;CA1;left
561;3;PC CA1;CA1;left
562;3;Uncalled;CA1;left
563;3;Non neuron;CA1;left
564;3;Uncalled;CA1;left
565;3;PC CA1;CA1;left
566;3;PC CA1;CA1;left
567;3;Non neuron;CA1;left
568;3;PC CA1;CA1;left
569;3;Non neuron;CA1;left
570;3;O/LM;CA1;left
571;3;Uncalled;CA1;left
572;3;Uncalled;CA1;left
573;3;PC CA1;CA1;left
574;3;Non neuron;CA1;left
575;3;PC CA1;CA1;left
576;3;Non neuron;CA1;left
577;3;Uncalled;CA1;left
578;3;Non neuron;CA1;left
579;3;Uncalled;CA1;left
580;3;Non neuron;CA1;left
581;3;Non neuron;CA1;left
582;3;O/LM;CA1;left
583;3;Uncalled;CA1;left
584;3;PC CA1;CA1;left
585;3;PC CA1;CA1;left
586;3;PC CA1;CA1;left
587;3;Non neuron;CA1;left
588;3;PC CA1;CA1;left
589;3;PC CA1;CA1;left
590;3;PC CA1;CA1;left
591;3;Uncalled;CA1;left
592;3;PC CA1;CA1;left
593;3;O-Bi;CA1;left
594;3;Non neuron;CA1;left
595;3;IS1;CA1;left
596;3;IS1;CA1;left
597;3;PC CA1;CA1;left
598;3;Non neuron;CA1;left
599;3;PC CA1;CA1;left
600;3;Uncalled;CA1;left
601;3;PC CA1;CA1;left
602;3;PC CA1;CA1;left
603;3;Uncalled;CA1;left
604;3;Non neuron;CA1;left
605;3;Uncalled;CA1;left
606;3;PC CA1;CA1;left
607;3;Non neuron;CA1;left
608;3;PC CA1;CA1;left
609;3;PC CA1;CA1;left
610;3;PC CA1;CA1;left
611;3;PC CA1;CA1;left
612;3;PC CA1;CA1;left
613;3;Non neuron;CA1;left
614;3;Non neuron;CA1;left
615;3;Uncalled;CA1;left
616;3;Non neuron;CA1;left
617;3;Uncalled;CA1;left
618;3;PC CA1;CA1;left
619;3;PC CA1;CA1;left
620;3;Uncalled;CA1;left
621;3;Non neuron;CA1;left
622;3;PC CA1;CA1;left
623;3;Non neuron;CA1;left
624;3;Non neuron;CA1;left
625;3;PC CA1;CA1;left
626;3;Non neuron;CA1;left
627;3;PC CA1;CA1;left
628;3;PC CA1;CA1;left
629;3;Non neuron;CA1;left
630;3;PC CA1;CA1;left
631;3;Uncalled;CA1;left
632;3;Uncalled;CA1;left
633;3;PC CA1;CA1;left
634;3;PC CA1;CA1;left
635;3;Non neuron;CA1;left
636;3;PC CA1;CA1;left
637;3;Uncalled;CA1;left
638;3;Uncalled;CA1;left
639;3;Uncalled;CA1;left
640;3;Uncalled;CA1;left
641;3;PC CA1;CA1;left
642;3;Uncalled;CA1;left
643;3;PC CA1;CA1;left
644;3;PC CA1;CA1;left
645;3;Non neuron;CA1;left
646;3;Non neuron;CA1;left
647;3;PC CA1;CA1;left
648;3;PC CA1;CA1;left
649;3;Uncalled;CA1;left
650;3;PC CA1;CA1;left
651;3;PC CA1;CA1;left
652;3;PC CA1;CA1;left
653;3;Radiatum retrohip;CA1;left
654;3;PC CA1;CA1;left
655;3;Non neuron;CA1;left
656;3;PC CA1;CA1;left
657;3;Uncalled;CA1;left
658;3;PC CA1;CA1;left
659;3;PC CA1;CA1;left
660;3;PC other;CA1;left
661;3;Uncalled;CA1;left
662;3;Uncalled;CA1;left
663;3;Uncalled;CA1;left
664;3;PC CA1;CA1;left
665;3;PC CA1;CA1;left
666;3;O/LM;CA1;left
667;3;PC CA1;CA1;left
668;3;PC CA1;CA1;left
669;3;PC CA1;CA1;left
670;3;Non neuron;CA1;left
671;3;PC CA1;CA1;left
672;3;PC CA1;CA1;left
673;3;PC other;CA1;left
674;3;Non neuron;CA1;left
675;3;PC CA1;CA1;left
676;3;Uncalled;CA1;left
677;3;Uncalled;CA1;left
678;3;Uncalled;CA1;left
679;3;Axo-axonic;CA1;left
680;3;PC CA1;CA1;left
681;3;PC CA1;CA1;left
682;3;Uncalled;CA1;left
683;3;Non neuron;CA1;left
684;3;Uncalled;CA1;left
685;3;Uncalled;CA1;left
686;3;PC other;CA1;left
687;3;PC CA1;CA1;left
688;3;PC CA1;CA1;left
689;3;Uncalled;CA1;left
690;3;Non neuron;CA1;left
691;3;Non neuron;CA1;left
692;3;Uncalled;CA1;left
693;3;PC CA1;CA1;left
694;3;Non neuron;CA1;left
695;3;PC CA1;CA1;left
696;3;Non neuron;CA1;left
697;3;Non neuron;CA1;left
698;3;PC CA1;CA1;left
699;3;PC CA1;CA1;left
700;3;Uncalled;CA1;left
701;3;Uncalled;CA1;left
702;3;PC CA1;CA1;left
703;3;Non neuron;CA1;left
704;3;Non neuron;CA1;left
705;3;PC CA1;CA1;left
706;3;PC CA1;CA1;left
707;3;PC CA1;CA1;left
708;3;PC CA1;CA1;left
709;3;PC CA1;CA1;left
710;3;PC CA1;CA1;left
711;3;Uncalled;CA1;left
712;3;Uncalled;CA1;left
713;3;Uncalled;CA1;left
714;3;Uncalled;CA1;left
715;3;Uncalled;CA1;left
716;3;Uncalled;CA1;left
717;3;Non neuron;CA1;left
718;3;PC CA1;CA1;left
719;3;PC CA1;CA1;left
720;3;Uncalled;CA1;left
721;3;Uncalled;CA1;left
722;3;PC CA1;CA1;left
723;3;PC CA1;CA1;left
724;3;Non neuron;CA1;left
725;3;PC CA1;CA1;left
726;3;IS1;CA1;left
727;3;PC CA1;CA1;left
728;3;PC CA1;CA1;left
729;3;PC CA1;CA1;left
730;3;PC CA1;CA1;left
731;3;Non neuron;CA1;left
732;3;PC CA1;CA1;left
733;3;PC CA1;CA1;left
734;3;Uncalled;CA1;left
735;3;Non neuron;CA1;left
736;3;PC CA1;CA1;left
737;3;PC CA1;CA1;left
738;3;Uncalled;CA1;left
739;3;Non neuron;CA1;left
740;3;PC CA1;CA1;left
741;3;Uncalled;CA1;left
742;3;PC other;CA1;left
743;3;MGE NGF/IVY;CA1;left
744;3;PC CA1;CA1;left
745;3;PC CA1;CA1;left
746;3;Uncalled;CA1;left
747;3;Non neuron;CA1;left
748;3;PC CA1;CA1;left
749;3;Non neuron;CA1;left
750;3;Non neuron;CA1;left
751;3;PC CA1;CA1;left
752;3;PC CA1;CA1;left
753;3;PC CA1;CA1;left
754;3;Uncalled;CA1;left
755;3;PC CA1;CA1;left
756;3;Non neuron;CA1;left
757;3;Non neuron;CA1;left
758;3;Uncalled;CA1;left
759;3;PC CA1;CA1;left
760;3;O/LM;CA1;left
761;3;Non neuron;CA1;left
762;3;Uncalled;CA1;left
763;3;PC CA1;CA1;left
764;3;PC CA1;CA1;left
765;3;Non neuron;CA1;left
766;3;Non neuron;CA1;left
767;3;Uncalled;CA1;left
768;3;Non neuron;CA1;left
769;3;PC CA1;CA1;left
770;3;PC CA1;CA1;left
771;3;Uncalled;CA1;left
772;3;Cck Cxcl14+;CA1;left
773;3;Uncalled;CA1;left
774;3;Non neuron;CA1;left
775;3;Non neuron;CA1;left
776;3;Non neuron;CA1;left
777;3;PC CA1;CA1;left
778;3;PC CA1;CA1;left
779;3;PC CA1;CA1;left
780;3;PC CA1;CA1;left
781;3;MGE NGF/IVY;CA1;left
782;3;PC other;CA1;left
783;3;Non neuron;CA1;left
784;3;PC CA1;CA1;left
785;3;PC CA1;CA1;left
786;3;Non neuron;CA1;left
787;3;Non neuron;CA1;left
788;3;Uncalled;CA1;left
789;3;Uncalled;CA1;left
790;3;Non neuron;CA1;left
791;3;Uncalled;CA1;left
792;3;Uncalled;CA1;left
793;3;IS3;CA1;left
794;3;Non neuron;CA1;left
795;3;PC other;CA1;left
796;3;Non neuron;CA1;left
797;3;Uncalled;CA1;left
798;3;Uncalled;CA1;left
799;3;CGE NGF;CA1;left
800;3;PC CA1;CA1;left
801;3;PC CA1;CA1;left
802;3;PC CA1;CA1;left
803;3;Uncalled;CA1;left
804;3;Uncalled;CA1;left
805;3;Uncalled;CA1;left
806;3;Non neuron;CA1;left
807;3;PC CA1;CA1;left
808;3;PC CA1;CA1;left
809;3;PC CA1;CA1;left
810;3;Non neuron;CA1;left
811;3;Non neuron;CA1;left
812;3;O-Bi;CA1;left
813;3;Uncalled;CA1;left
814;3;Uncalled;CA1;left
815;3;Uncalled;CA1;left
816;3;Non neuron;CA1;left
817;3;PC CA1;CA1;left
818;3;Non neuron;CA1;left
819;3;PC CA1;CA1;left
820;3;PC CA1;CA1;left
821;3;CGE NGF;CA1;left
822;3;Uncalled;CA1;left
823;3;Uncalled;CA1;left
824;3;Non neuron;CA1;left
825;3;Uncalled;CA1;left
826;3;PC CA1;CA1;left
827;3;PC CA1;CA1;left
828;3;Uncalled;CA1;left
829;3;Non neuron;CA1;left
830;3;PC CA1;CA1;left
831;3;Non neuron;CA1;left
832;3;PC CA1;CA1;left
833;3;PC CA1;CA1;left
834;3;Non neuron;CA1;left
835;3;PC other;CA1;left
836;3;PC CA1;CA1;left
837;3;Uncalled;CA1;left
838;3;PC CA1;CA1;left
839;3;MGE NGF/IVY;CA1;left
840;3;PC CA1;CA1;left
841;3;Uncalled;CA1;left
842;3;MGE NGF/IVY;CA1;left
843;3;Non neuron;CA1;left
844;3;Uncalled;CA1;left
845;3;PC CA1;CA1;left
846;3;Uncalled;CA1;left
847;3;PC CA1;CA1;left
848;3;Uncalled;CA1;left
849;3;Uncalled;CA1;left
850;3;Cck Cxcl14-;CA1;left
851;3;Non neuron;CA1;left
852;3;PC CA1;CA1;left
853;3;O-Bi;CA1;left
854;3;Uncalled;CA1;left
855;3;PC CA1;CA1;left
856;3;Uncalled;CA1;left
857;3;PC CA1;CA1;left
858;3;PC CA1;CA1;left
859;3;Non neuron;CA1;left
860;3;Non neuron;CA1;left
861;3;Non neuron;CA1;left
862;3;Uncalled;CA1;left
863;3;PC CA1;CA1;left
864;3;Uncalled;CA1;left
865;3;PC CA1;CA1;left
866;3;Non neuron;CA1;left
867;3;Non neuron;CA1;left
868;3;Uncalled;CA1;left
869;3;Uncalled;CA1;left
870;3;PC CA1;CA1;left
