label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
52;left_module_13;UPENN-GBM-00013_11 node 51;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;52;51;2;119;184;112;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;20.941805;13;10;22.881487;13
53;left_module_4;UPENN-GBM-00013_11 node 52;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;53;52;2;119;185;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;5.5107669;4;9;4.8483106;4
54;left_module_4;UPENN-GBM-00013_11 node 53;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;54;53;2;119;185;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;4.7292022;4;7;4.9271208;4
55;left_module_1;UPENN-GBM-00013_11 node 54;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;55;54;2;119;185;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;3.8391128;1;10;7.6902445;1
56;left_module_6;UPENN-GBM-00013_11 node 55;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;56;55;2;119;185;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;8.8561281;6;8;7.8326221;6
57;left_module_6;UPENN-GBM-00013_11 node 56;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;57;56;2;119;185;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;14;14.297484;6;7;8.4029901;6
58;left_module_13;UPENN-GBM-00013_11 node 57;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;58;57;2;119;185;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;11.458485;13;10;15.466639;13
59;left_module_13;UPENN-GBM-00013_11 node 58;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;59;58;2;119;185;112;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;10.057992;13;8;12.375094;13
60;left_module_13;UPENN-GBM-00013_11 node 59;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;60;59;2;119;185;113;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;17.683911;13;12;19.792452;13
61;left_module_1;UPENN-GBM-00013_11 node 60;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;61;60;2;119;186;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;3.8878087;1;10;5.8366575;1
