label;region_name;Score_Max;hemisphere
486;PSMB6_G;40;right
487;PSMB7_H;40;right
488;PSMA4_I;40;right
489;PSMA3_J;40;right
490;PSMA6_K;40;right
491;PSMA5_L;40;right
492;PSMA2_M;40;right
493;PSMA8_A;41;right
494;PSMB4_B;41;right
495;PSMB5_C;41;right
496;PSMB2_D;41;right
497;PSMB1_E;41;right
498;PSMA7_F;41;right
499;PSMB6_G;41;right
500;PSMB7_H;41;right
501;PSMA4_I;41;right
502;PSMA3_J;41;right
503;PSMA6_K;41;right
504;PSMA5_L;41;right
505;PSMA2_M;41;right
506;PSMA8_A;42;right
507;PSMB4_B;42;right
508;PSMB5_C;42;right
509;PSMB2_D;42;right
510;PSMB1_E;42;right
511;PSMA7_F;42;right
512;PSMB6_G;42;right
513;PSMB7_H;42;right
514;PSMA4_I;42;right
515;PSMA3_J;42;right
516;PSMA6_K;42;right
517;PSMA5_L;42;right
518;PSMA2_M;42;right
519;PSMA8_A;43;right
520;PSMB4_B;43;right
521;PSMB5_C;43;right
522;PSMB2_D;43;right
523;PSMB1_E;43;right
524;PSMA7_F;43;right
525;PSMB6_G;43;right
526;PSMB7_H;43;right
527;PSMA4_I;43;right
528;PSMA3_J;43;right
529;PSMA6_K;43;right
530;PSMA5_L;43;right
531;PSMA2_M;43;right
532;PSMA8_A;44;right
533;PSMB4_B;44;right
534;PSMB5_C;44;right
535;PSMB2_D;44;right
536;PSMB1_E;44;right
537;PSMA7_F;44;right
538;PSMB6_G;44;right
539;PSMB7_H;44;right
540;PSMA4_I;44;right
541;PSMA3_J;44;right
542;PSMA6_K;44;right
543;PSMA5_L;44;right
544;PSMA2_M;44;right
545;PSMA8_A;45;right
546;PSMB4_B;45;right
547;PSMB5_C;45;right
548;PSMB2_D;45;right
549;PSMB1_E;45;right
550;PSMA7_F;45;right
551;PSMB6_G;45;right
552;PSMB7_H;45;right
553;PSMA4_I;45;right
554;PSMA3_J;45;right
555;PSMA6_K;45;right
556;PSMA5_L;45;right
557;PSMA2_M;45;right
558;PSMA8_A;46;right
559;PSMB4_B;46;right
560;PSMB5_C;46;right
561;PSMB2_D;46;right
562;PSMB1_E;46;right
563;PSMA7_F;46;right
564;PSMB6_G;46;right
565;PSMB7_H;46;right
566;PSMA4_I;46;right
567;PSMA3_J;46;right
568;PSMA6_K;46;right
569;PSMA5_L;46;right
570;PSMA2_M;46;right
571;PSMA8_A;47;right
572;PSMB4_B;47;right
573;PSMB5_C;47;right
574;PSMB2_D;47;right
575;PSMB1_E;47;right
576;PSMA7_F;47;right
577;PSMB6_G;47;right
578;PSMB7_H;47;right
579;PSMA4_I;47;right
580;PSMA3_J;47;right
581;PSMA6_K;47;right
582;PSMA5_L;47;right
583;PSMA2_M;47;right
584;PSMA8_A;48;right
585;PSMB4_B;48;right
586;PSMB5_C;48;right
587;PSMB2_D;48;right
588;PSMB1_E;48;right
589;PSMA7_F;48;right
590;PSMB6_G;48;right
591;PSMB7_H;48;right
592;PSMA4_I;48;right
593;PSMA3_J;48;right
594;PSMA6_K;48;right
595;PSMA5_L;48;right
596;PSMA2_M;48;right
597;PSMA8_A;49;right
598;PSMB4_B;49;right
599;PSMB5_C;49;right
600;PSMB2_D;49;right
601;PSMB1_E;49;right
602;PSMA7_F;49;right
603;PSMB6_G;49;right
604;PSMB7_H;49;right
605;PSMA4_I;49;right
606;PSMA3_J;49;right
607;PSMA6_K;49;right
608;PSMA5_L;49;right
609;PSMA2_M;49;right
610;PSMA8_A;50;right
611;PSMB4_B;50;right
612;PSMB5_C;50;right
613;PSMB2_D;50;right
614;PSMB1_E;50;right
615;PSMA7_F;50;right
616;PSMB6_G;50;right
