label,Iso-map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
200,-0.40805,0.82584,-0.01205,11.26909,1.29101,3.63726,-56.04244,92.12604,13.1511,1,1,1,5
201,-0.54938,0.1179,-0.02547,12.84859,-1.78874,0.09777,-11.6682,-43.79634,-12.42652,5,1,1,2
202,-0.63103,1.1482,-0.44414,9.98504,1.39422,4.9029,-33.84994,-57.19062,-54.07034,1,1,1,6
203,-0.83496,0.95327,-0.33541,10.10095,0.94573,4.51052,-45.01192,71.38279,15.5127,1,1,1,6
204,-0.67981,0.57405,-0.07784,11.34109,0.44952,3.92825,52.90525,-48.43156,-31.56002,1,1,1,6
205,-0.4018,-0.28415,0.1453,12.41979,-0.85135,1.41294,-9.40491,-77.41798,-21.37803,1,1,1,1
206,-0.94224,-0.5207,0.14481,12.57157,-2.25192,0.14094,-11.70157,-10.53136,37.73774,1,1,1,5
207,-0.67998,0.60608,0.06193,10.96875,1.74919,4.07958,-33.69208,-31.74086,-66.49328,1,1,1,5
208,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-40.44809,-72.29922,6.45583,2,2,1,1
209,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-100.66158,107.11641,-96.59473,2,2,1,5
210,-0.72559,0.16686,-0.34425,11.80288,-0.08663,1.54302,35.68852,-9.96036,-38.97441,1,1,1,2
211,-0.76201,-0.01006,0.0634,12.07663,-0.17805,2.62051,2.06481,-9.66404,28.8625,1,1,1,5
212,-0.74433,-0.0097,-0.32724,11.51568,-0.36832,1.32998,10.68807,-47.87366,26.58619,1,1,1,5
213,-0.83569,0.81346,-0.32272,10.01667,1.47468,4.91844,-13.5659,-53.71358,-60.7357,1,1,1,6
214,-0.4256,-0.15719,-0.06642,12.55419,-1.41352,1.05769,26.95628,6.81757,-48.0162,1,1,1,1
215,-0.84381,0.12232,-0.43645,12.37128,-1.3487,0.64033,31.23556,-30.04478,-33.08646,1,1,1,6
216,-1.45795,-0.58013,-0.26275,13.283,-3.40346,-1.52662,65.28095,-50.69047,32.81866,1,3,1,3
217,-0.69254,0.81816,-0.48583,10.18747,1.2915,4.88416,-8.62291,-46.08978,-47.30256,1,1,1,6
218,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,44.21014,-13.25242,13.29716,2,2,1,6
219,-1.02413,-0.53084,-0.09906,12.97961,-2.64301,-0.4317,60.21787,30.76938,37.89277,3,1,1,5
220,-0.71399,0.05099,0.03511,12.15467,-0.70416,1.99927,5.05101,-30.24404,-0.46695,1,1,1,5
221,-0.61911,1.24182,-0.39559,9.83865,1.74742,4.6679,-7.82321,-32.12568,-72.9821,1,1,1,2
222,-0.44283,0.32135,-0.45572,11.74589,0.42866,2.45744,9.5694,90.49361,-3.95506,1,1,1,2
223,-0.90239,0.84643,-0.46281,10.44225,1.5636,4.50114,-63.7298,-28.4632,42.2644,1,1,1,2
224,-1.09608,0.59815,-0.46054,10.47316,0.80336,4.19068,8.76331,-45.54804,-68.50732,1,1,1,2
225,-0.89669,0.30284,-0.42299,11.15671,0.40131,3.5113,0.38788,-65.69972,-43.84216,1,1,1,2
226,-0.69874,-0.06866,-0.08533,12.14352,-0.70288,1.77012,-63.90253,-1.65344,-57.76064,1,1,1,5
227,-0.84332,0.00624,-0.39599,12.61479,-1.1949,1.58951,22.12416,-47.49119,8.76297,1,1,1,2
228,-0.92979,-0.23523,-0.35473,12.57286,-1.25931,0.70025,46.14032,-6.51749,-18.69578,1,1,1,2
229,-0.69984,-0.33084,-0.07661,13.52342,-3.28226,-1.63066,-46.06842,-63.30694,-17.69403,3,1,1,6
230,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,27.31215,9.64086,52.79396,2,2,2,2
231,-0.94563,-0.4968,-0.08692,13.41606,-3.2513,-1.36532,58.49196,-39.58014,57.35556,3,1,1,6
232,-0.8996,-0.27632,-0.12002,13.23448,-3.27395,-1.54655,31.78422,-14.8275,44.77188,3,3,1,6
