label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
77,-10.16497,4.76748,-0.16325,12.48425,-2.91336,1.81391,-0.00443,0.0033,0.0008,-54.79512,19.29771,39.92553,2,1,1,2,4
78,14.82064,-1.07955,-0.77148,0.50802,5.65763,6.46266,0.00675,-405,-0.00044,54.66084,28.4581,52.40334,4,1,1,2,1
79,18.60455,-7.3674,2.06855,0.26692,4.90993,6.46673,0.00732,-0.00098,0.0035,18.70226,22.52854,-72.66169,1,1,1,2,4
80,14.9311,-3.80519,-2.52695,0.4734,4.95426,5.40906,0.00642,-0.00024,-0.00159,10.05218,6.06346,-73.4733,1,1,1,2,4
81,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-78.64087,112.68681,-32.99086,2,2,1,1,2
82,-8.3491,4.7961,0.8436,12.59967,-2.79825,1.93298,-0.00428,0.00354,-0.00067,-48.37918,62.22434,-22.58913,2,1,1,2,2
83,-1.38829,3.77456,0.79933,4.78658,2.44781,-0.5002,-0.00037,0.00147,-0.00494,-37.72447,13.60757,-18.73784,1,1,1,2,2
84,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,46.87882,-15.15401,-3.5775,2,2,1,2,4
85,16.8655,-7.79133,3.49469,0.31598,5.342,6.23087,0.00716,-0.00202,0.00399,53.31357,46.12121,-18.98854,1,1,1,2,3
86,2.36735,3.02075,-5.96203,2.85416,3.14959,1.58143,0.00096,0.00148,-0.00846,-12.98183,33.6088,5.81179,1,1,1,2,1
87,6.60598,1.11739,-5.23538,1.56573,4.88846,1.91199,0.00299,-0.00054,-0.00813,-21.64134,4.54779,-31.25577,1,1,1,2,3
88,5.29121,1.30222,-5.66255,2.04307,4.20023,1.0499,0.00257,-0.00031,-0.00765,-13.26079,13.12651,-7.92806,1,1,1,2,2
89,17.07468,-7.56913,-0.26724,0.33046,5.21265,5.86255,0.00667,-0.00218,0.00125,31.3743,31.74746,-61.58204,1,1,1,2,1
