label,MRI,,,UPENNModuleClustering
128902,69,102,34,11
128903,69,103,36,14
128904,69,103,38,14
128905,69,104,34,11
128906,69,104,35,14
128907,69,104,36,14
128908,69,104,37,14
128909,69,105,31,11
128910,69,105,32,11
128911,69,105,36,14
128912,69,106,31,11
128913,69,106,32,11
128914,69,106,33,11
128915,69,106,34,14
128916,69,106,37,14
128917,69,106,38,14
128918,69,107,31,11
128919,69,107,34,14
128920,69,108,35,14
128921,69,108,36,14
128922,69,108,37,14
128923,69,109,29,11
128924,69,109,30,11
128925,69,109,35,11
128926,69,109,36,11
128927,69,109,37,11
128928,69,109,40,14
128929,69,109,41,14
128930,69,110,29,11
128931,69,110,30,11
128932,69,110,31,11
128933,69,110,33,11
128934,69,110,34,11
128935,69,110,35,11
128936,69,110,36,11
128937,69,110,37,11
128938,69,110,40,14
128939,69,111,31,11
128940,69,111,37,11
128941,69,112,31,11
128942,69,112,32,14
128943,69,112,35,11
128944,69,112,39,11
128945,69,113,28,11
128946,69,113,32,14
128947,69,113,33,14
128948,69,113,37,11
128949,69,114,30,11
128950,69,114,31,11
128951,69,114,32,14
128952,69,114,33,14
128953,69,114,36,14
128954,69,114,39,14
128955,69,114,40,14
128956,69,115,30,11
128957,69,115,31,11
128958,69,115,32,14
128959,69,115,35,14
128960,69,115,39,14
128961,69,116,30,14
128962,69,116,35,14
128963,69,116,40,14
128964,69,117,31,14
128965,69,134,96,13
128966,69,134,97,13
128967,69,134,98,13
128968,69,134,99,13
128969,69,135,95,13
128970,69,135,96,13
128971,69,135,98,13
128972,69,136,93,13
128973,69,136,97,4
128974,69,136,98,13
128975,69,136,99,13
128976,69,136,101,13
128977,69,137,93,13
128978,69,137,95,4
128979,69,137,97,4
128980,69,137,100,13
128981,69,137,101,13
128982,69,138,95,4
128983,69,138,98,4
128984,69,138,102,13
128985,69,139,93,13
128986,69,139,95,4
128987,69,139,100,4
128988,69,139,102,13
128989,69,139,103,13
128990,69,140,96,4
128991,69,140,100,4
128992,69,140,102,13
128993,69,140,103,13
128994,69,141,91,13
128995,69,141,92,4
128996,69,141,93,4
128997,69,141,96,4
128998,69,141,97,4
128999,69,141,99,4
129000,69,141,103,13
129001,69,142,89,13
129002,69,142,92,4
129003,69,142,93,4
129004,69,142,94,4
129005,69,142,96,4
129006,69,142,97,4
129007,69,142,98,4
129008,69,142,100,4
129009,69,142,101,4
129010,69,142,102,13
129011,69,143,87,13
129012,69,143,89,4
129013,69,143,90,4
129014,69,143,91,4
129015,69,143,92,4
129016,69,143,93,4
129017,69,143,94,4
129018,69,143,97,4
129019,69,143,98,4
129020,69,143,101,4
129021,69,144,89,4
129022,69,144,90,4
129023,69,144,94,4
129024,69,144,95,4
129025,69,144,96,4
129026,69,144,97,4
129027,69,144,98,4
129028,69,144,99,4
129029,69,144,100,4
129030,69,144,101,4
129031,69,144,102,4
129032,69,144,105,13
129033,69,145,88,4
129034,69,145,92,4
129035,69,145,95,4
129036,69,145,100,4
129037,69,145,105,13
129038,69,145,106,13
129039,69,146,87,13
129040,69,146,89,13
129041,69,146,91,13
129042,69,146,92,13
129043,69,146,96,4
129044,69,146,99,4
129045,69,146,100,4
129046,69,146,101,4
129047,69,146,103,4
129048,69,146,104,4
129049,69,147,91,13
129050,69,147,92,13
129051,69,147,93,13
129052,69,147,97,4
129053,69,147,98,4
129054,69,147,99,4
129055,69,147,100,4
129056,69,147,105,4
129057,69,147,107,13
129058,69,147,108,13
