Label,X,Y,Z
1018,106,98,31
1019,136,99,31
1020,105,101,31
1021,122,101,31
1022,116,103,31
1023,112,105,31
1024,161,105,31
1025,124,107,31
1026,109,108,31
1027,175,108,31
1028,163,109,31
1029,147,111,31
1030,161,111,31
1031,157,113,31
1032,105,114,31
1033,152,115,31
1034,142,116,31
1035,97,117,31
1036,169,117,31
1037,101,119,31
1038,102,120,31
1039,84,122,31
1040,93,123,31
1041,121,123,31
1042,162,123,31
1043,120,124,31
1044,178,125,31
1045,83,126,31
1046,155,127,31
1047,164,127,31
1048,131,129,31
1049,134,130,31
1050,100,132,31
1051,106,132,31
1052,102,134,31
1053,112,136,31
1054,179,137,31
1055,90,140,31
1056,100,140,31
1057,121,142,31
1058,159,144,31
1059,164,146,31
1060,107,148,31
1061,137,149,31
1062,117,150,31
1063,96,151,31
1064,143,153,31
1065,154,155,31
1066,142,63,32
1067,151,65,32
1068,149,67,32
1069,144,68,32
1070,147,71,32
1071,142,74,32
1072,104,75,32
1073,134,77,32
1074,144,77,32
1075,92,80,32
1076,140,81,32
1077,132,83,32
1078,94,84,32
1079,96,84,32
1080,115,86,32
1081,130,88,32
1082,147,90,32
1083,164,90,32
1084,167,90,32
1085,86,91,32
1086,170,92,32
1087,137,93,32
1088,90,95,32
1089,127,95,32
1090,137,96,32
1091,115,97,32
1092,106,99,32
1093,99,100,32
1094,111,101,32
1095,165,102,32
1096,151,103,32
1097,152,103,32
1098,153,104,32
1099,91,105,32
1100,127,105,32
1101,159,105,32
1102,129,106,32
1103,103,108,32
1104,171,109,32
1105,143,111,32
1106,160,111,32
1107,124,113,32
1108,152,113,32
1109,130,115,32
1110,103,117,32
1111,140,118,32
1112,79,120,32
1113,145,120,32
1114,91,122,32
1115,96,123,32
1116,85,125,32
1117,113,126,32
1118,153,127,32
1119,149,129,32
1120,155,130,32
1121,173,131,32
1122,156,132,32
1123,158,133,32
1124,141,134,32
1125,179,134,32
1126,85,136,32
1127,169,137,32
1128,99,138,32
1129,177,139,32
1130,160,140,32
1131,167,141,32
1132,143,143,32
1133,94,144,32
1134,174,144,32
1135,102,147,32
1136,97,149,32
1137,95,150,32
1138,102,151,32
1139,168,153,32
1140,100,157,32
1141,132,64,33
1142,129,66,33
1143,105,67,33
1144,113,70,33
1145,109,72,33
1146,160,72,33
1147,104,73,33
1148,101,75,33
1149,141,75,33
1150,160,76,33
1151,91,79,33
1152,158,79,33
1153,118,81,33
1154,169,82,33
1155,101,83,33
1156,148,84,33
1157,162,85,33
1158,160,87,33
1159,132,89,33
1160,140,90,33
1161,86,91,33
1162,86,92,33
1163,89,93,33
1164,99,94,33
1165,128,94,33
1166,135,94,33
1167,176,94,33
1168,159,96,33
1169,108,97,33
1170,100,99,33
1171,92,101,33
1172,105,102,33
1173,131,102,33
1174,89,104,33
1175,104,105,33
1176,98,106,33
1177,159,107,33
1178,143,108,33
1179,116,109,33
1180,81,110,33
1181,132,111,33
1182,164,112,33
1183,127,114,33
1184,151,115,33
1185,142,116,33
1186,172,116,33
1187,158,118,33
1188,93,120,33
1189,104,120,33
1190,81,122,33
1191,115,123,33
1192,128,124,33
1193,151,124,33
1194,132,126,33
1195,136,126,33
1196,121,128,33
1197,126,129,33
1198,129,129,33
1199,99,130,33
1200,134,131,33
1201,112,133,33
1202,89,135,33
1203,150,136,33
1204,92,138,33
1205,150,138,33
1206,120,139,33
1207,115,140,33
1208,115,142,33
1209,107,143,33
1210,88,144,33
1211,96,144,33
1212,126,146,33
1213,105,148,33
1214,111,149,33
1215,141,151,33
1216,145,151,33
1217,105,154,33
1218,149,156,33
1219,122,158,33
1220,133,164,33
1221,132,65,34
1222,157,68,34
1223,156,71,34
1224,160,71,34
1225,115,73,34
1226,140,75,34
1227,145,77,34
1228,120,78,34
1229,163,79,34
1230,96,80,34
1231,102,81,34
1232,132,82,34
1233,147,84,34
1234,91,86,34
1235,106,87,34
1236,156,87,34
1237,120,89,34
1238,94,91,34
